,title,location,cost_for_two,cuisine,ratings,review_counts,phone,url
0,AB's - Absolute Barbecues,T. Nagar,"₹1,400","BBQ,North Indian,European,Beverages",4.9,10159 votes,"+91 7337336821, 040 45659901",https://www.zomato.com/chennai/abs-absolute-barbecues-t-nagar
1,Grill Box,T. Nagar,"₹1,200","North Indian,Seafood,Chinese,Continental",3.8,1577 votes,"+91 9500128074, 044 42124250",https://www.zomato.com/chennai/grill-box-t-nagar
2,Coal Barbecues,T. Nagar,"₹1,400","North Indian,Mediterranean,Asian,Arabian,BBQ",4.9,6993 votes,+91 8448449928,https://www.zomato.com/chennai/coal-barbecues-t-nagar
3,Sangeetha Veg Restaurant,T. Nagar,₹800,"South Indian,North Indian,Chinese",4.5,1360 votes,"+91 9789366266, +91 9789566266",https://www.zomato.com/chennai/sangeetha-veg-restaurant-t-nagar
4,"3B's - Buddies, Bar & Barbecue",T. Nagar,"₹1,200",North Indian,4.5,1529 votes,+91 7337336825,https://www.zomato.com/chennai/3bs-buddies-bar-barbecue-t-nagar
5,Basil With A Twist,T. Nagar,"₹1,500","Continental,Cafe,Italian,European,Mediterranean,Steak,Pizza,Salad",4.5,1984 votes,"044 42613613, +91 9841085611",https://www.zomato.com/chennai/basil-with-a-twist-t-nagar
6,Hotelkaar Biriyani,T. Nagar,₹350,South Indian,4,911 votes,+91 9884242510,https://www.zomato.com/chennai/hotelkaar-biriyani-t-nagar
7,Barbeque Nation,T. Nagar,"₹1,500","North Indian,Continental,Kebab,BBQ",4.8,5749 votes,"+91 7126693311, 044 64806060",https://www.zomato.com/chennai/barbeque-nation-t-nagar
8,Sapthagiri Tiffin Centre,T. Nagar,₹200,"South Indian,Chinese",4.3,1187 votes,+91 9444169477,https://www.zomato.com/chennai/sapthagiri-tiffin-centre-t-nagar
9,Thambi Vilas,T. Nagar,₹600,"South Indian,Biryani",3.9,792 votes,044 28340620,https://www.zomato.com/chennai/thambi-vilas-t-nagar
10,Cafe Central,T. Nagar,₹850,"Cafe,Biryani,American,Burger,Italian,Juices",4.2,961 votes,"044 43363393, +91 8438463315",https://www.zomato.com/chennai/cafe-central-t-nagar
